job_id,job_title,normalized_role,seniority,seniority_basis,company,location,work_type,salary_min,salary_max,salary_currency,salary_period,required_skills,nice_to_have_skills,years_experience,education_required,language_requirements,posting_url,posting_date,source,first_seen_date,last_seen_date
7f4853f4f4f6,Computer Vision & AI Engineer - N3XT Interceptor C-UAS (m/f/d),AI Engineer,Mid,"Master's expected and PhD a plus, but explicitly open to ambitious early-career candidates with no senior-scope signals.",Quantum-Systems GmbH,"Gilching, Germany",Onsite,,,,,Python;C++;Computer Vision;NVIDIA Jetson;CUDA;TensorRT;ONNX;GStreamer;V4L2;Object Detection;Tracking;Camera Calibration;Dataset Annotation,SLAM;Visual Odometry;Sensor Fusion;IMU-Camera Fusion;Cloud ML Pipelines;Robotics Perception,,Master's or PhD in Computer Vision/AI/Robotics/CS or comparable,English,https://www.arbeitnow.com/jobs/companies/quantum-systems-gmbh/computer-vision-ai-engineer-n3xt-interceptor-cuas-gilching-191952,2026-06-19,Arbeitnow API,2026-06-22,2026-06-22
49876d5f233e,Founding Engineer Applied AI Engineering & Full-Stack (d/f/m),AI Engineer,Senior,Founding-engineer role with minimum 3 years programming experience and end-to-end system ownership.,Sikia.ai,"Berlin, Germany",Hybrid,80000,100000,EUR,year,Python;Backend Development;Speech-to-Text;Live Transcription;LLM Evaluation;Prompt Optimization;Multi-Provider Routing;Cloud Infrastructure;System Design,Dart;Flutter;Windows Desktop,3+,Not required (self-taught with shipped projects accepted),"German (conversational), English",https://www.arbeitnow.com/jobs/companies/sikiaai/founding-engineer-applied-ai-engineering-full-stack-berlin-351958,2026-06-19,Arbeitnow API,2026-06-22,2026-06-22
8d4f1e0b23af,Werkstudent AI Engineer (m/w/d),AI Engineer,Intern,Werkstudent (working-student) role requiring current enrollment.,Estateanfrage,"Munich, Germany",Onsite,,,,,ChatGPT;Claude;Gemini;Process Optimization,,,"Enrolled student in CS, Business Informatics, Data Science, AI or comparable",German (very good),https://www.arbeitnow.com/jobs/companies/estateanfrage/werkstudent-ai-engineer-munich-182315,2026-06-19,Arbeitnow API,2026-06-22,2026-06-22
e512c692d90c,KI-Entwickler / AI Engineer für Projekte im Mittelstand (m/w/d),AI Engineer,Mid,"Practical experience prioritized with independent project delivery, no years or senior scope stated.",COREEN GmbH,"Berlin, Germany",Remote,,,,,Python;JavaScript;TypeScript;OpenAI API;Azure OpenAI;LangChain;LlamaIndex;Hugging Face;Ollama;RAG;Embeddings;Vector Databases;Docker;CI/CD;Prompt Engineering,Agentic Workflows;n8n;Make;AI Automation,,Not required (degree in CS/Data Science/Math/Physics/Engineering helpful),"German (very good), English (good)",https://www.arbeitnow.com/jobs/companies/coreen-gmbh/ki-entwickler-ai-engineer-fur-projekte-im-mittelstand-berlin-60205,2026-06-18,Arbeitnow API,2026-06-22,2026-06-22
c2933d5ab793,Data & AI Engineer (m/w/d),Data Engineer,Mid,"3+ years in data engineering required, individual contributor scope.",Team Passerelle,"Berlin, Germany",Remote,80000,95000,EUR,year,Python;SQL;dbt;Airflow;Dagster;Qdrant;Weaviate;Milvus;pgvector;LlamaParse;Unstructured.io;ETL/ELT;Embeddings;RAG,Knowledge Graphs;Semantic Layer;Text-to-SQL;DataOps,3+,Not stated,"German (fluent), English (fluent)",https://www.arbeitnow.com/jobs/companies/team-passerelle/data-ai-engineer-berlin-118584,2026-06-17,Arbeitnow API,2026-06-22,2026-06-22
fae23e57efdd,Senior Data & AI Engineer (m/f/d),Data Engineer,Senior,Senior title with 3-6 years experience and architecture ownership.,Novalytica AG,"Bern, Switzerland",Hybrid,,,,,Microsoft Azure;Databricks;Microsoft Fabric;Azure Data Factory;Azure Synapse;Python;SQL;PySpark;Delta Lake;Data Mesh;Medallion Architecture;Power BI;Qlik Sense;Tableau;LLMs;RAG;Prompt Engineering;Embeddings;Vector Databases;Azure OpenAI;Git;CI/CD;MLOps;LLMOps;Infrastructure as Code;pandas;NumPy;Spark,French,3-6,University degree in CS/Data Science/Math/Physics/Engineering,"German (fluent), English (fluent), French (advantage)",https://www.datacareer.ch/job/10206/senior-data-ai-engineer-m-f-d/,2026-05-08,datacareer.ch,2026-06-22,2026-06-22
f355f2c76e68,Intern Applied AI & AI-Platform,AI Engineer,Intern,Explicit 6-month internship for current students/recent graduates.,V-ZUG AG,"Zug, Switzerland",Hybrid,,,,,Prompt Engineering;RAG;Agent-Based Workflows;Business Process Analysis,Azure;Python;APIs;LLMOps,,Enrolled in or recently completed degree in Business Informatics/Data Science/AI,"German (excellent), English (good)",https://www.datacareer.ch/job/13554/intern-applied-ai-ai-platform/,2026-06-19,datacareer.ch,2026-06-22,2026-06-22
80d247a6ad72,Forward Deployed AI/ML Model Engineer,ML Engineer,Senior,5+ years hands-on AI/ML model engineering with distributed system design.,IMTF,"Zürich, Switzerland",Hybrid,,,,,PyTorch;TensorFlow;Spark;SparkML;MLflow;Kubernetes;Helm;Delta Lake;ONNX;LLM Fine-Tuning;Graph Neural Networks;MLOps;Distributed Systems;Data Engineering,LangChain;NVIDIA NeMo;Ray;Torch Distributor,5+,University degree in CS/Engineering or equivalent experience,English,https://www.datacareer.ch/job/13547/forward-deployed-ai-ml-model-engineer/,2026-06-18,datacareer.ch,2026-06-22,2026-06-22
71b72b0320a2,"Machine Learning Engineer (Applied ML, B2B SaaS)",ML Engineer,Mid,"'Several years' of ML experience, individual contributor with no senior/lead title.",aspaara AG,"Zürich, Switzerland",Onsite,,,,,Python;PyTorch;pandas;scikit-learn;OR-Tools;CP-SAT;Gurobi;MLflow;Docker;Kubernetes;Time Series;Mathematical Optimization,LLMs;Agent-Based Systems;RAG;Information Extraction,,Master's or PhD in CS/Math/Physics or related,English,https://www.datacareer.ch/job/13515/machine-learning-engineer-applied-ml-b2b-saas/,2026-06-15,datacareer.ch,2026-06-22,2026-06-22
cdc9242753bc,Senior Data Scientist,Data Scientist,Senior,Senior title with 5+ years in Data Science/ML and production code ownership.,Vorsee (ZYTLYN Technologies),"Geneva, Switzerland",Onsite,,,,,Python;NumPy;pandas;SciPy;scikit-learn;Matplotlib;Seaborn;TensorFlow;PyTorch;SQL;Time Series Forecasting;Statistics;Experimental Design,MLOps;Embeddings;Vector Databases;LLM Applications;AWS;Docker;Kubernetes;CI/CD;Model Monitoring,5+,Not specified,Not specified,https://www.datacareer.ch/job/13514/senior-data-scientist/,2026-06-15,datacareer.ch,2026-06-22,2026-06-22
a3e1877f0677,Machine Learning Engineer (Computer Vision),ML Engineer,Mid,"4+ years in computer vision plus 2+ years production cloud, IC scope without senior title.",Moonlight AI AG,"Basel, Switzerland",Remote,,,,,Python;PyTorch;TensorFlow;Image Segmentation;Object Detection;Feature Extraction;Cloud Infrastructure;Data Pipelines;Git,Digital Pathology;Medical Imaging;Explainable AI;Model Interpretability,4+,PhD in Computer Vision/Biomedical Image Analysis or related,English,https://www.datacareer.ch/job/13533/machine-learning-engineer-computer-ision/,2026-06-17,datacareer.ch,2026-06-22,2026-06-22
67f9efc22b7e,Machine Learning Engineer (gn*),ML Engineer,Mid,"'Multiple years' professional experience, IC role without senior/lead designation.",TÜV AUSTRIA,"Vienna, Austria",Hybrid,60000,,EUR,year,Python;pandas;NumPy;PyTorch;FastAPI;Docker;Microsoft Azure;SQL;NoSQL;Machine Learning;Deep Learning;Generative AI;MLOps;Model Monitoring,,,Degree in AI/ML/Data Science or comparable (Uni/TU/FH),"German (good), English (good)",https://www.karriere.at/jobs/7786907,2026-06-22,karriere.at,2026-06-22,2026-06-22
